Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
		也许不是最后一封信	game/credits.rpy	119
		ProjectZ Studio出品	game/credits.rpy	120
		理念和游戏设计	game/credits.rpy	124
		余晖	game/credits.rpy	125
		故事	game/credits.rpy	129
		余晖\nEXPLORER	game/credits.rpy	130
		主要程序员	game/credits.rpy	134
		lwd-temp	game/credits.rpy	135
		音乐\nEasy Breeze (StarSight Remix)  Player_275x / Thomas Greenberg\n穏やかに過ぎゆく時  小林俊太郎\n【Animenz】secret base 〜你给我的所有〜 - 未闻花名 ED 钢琴版  Bilibili用户@Animenzzz\nLeaves in the Wind  Isaac Shepard\nMidday Prospects 午日的眺望 陈致逸 / HOYO-MiX[persistent.expsongname]\n所念皆星河  CMJ	game/credits.rpy	140
		策划	game/credits.rpy	144
		早期测试人员\n840a8dbdddece6a56fb9b1f925eac7a75cb274b85e7eddafdfb97573170e5a8b\nEXPLORER\n83235ec96fa3b9c0631863c5e3f998aef8e89c28698a8fc2843509627cb0d295	game/credits.rpy	150
		特别感谢\nRen'Py\nTeam Salvato\nHasbro, Inc\nSCP Foundation\nUniverse of My Own\n米哈游\n创造音乐和立绘的艺术家们	game/credits.rpy	155
		此项目的部分代码来自DDLCModTemplate2.0，原则上禁止用于除《心跳文学部》第三方模组的其他用途\n除此之外的其他代码使用 GNU General Public License v3.0 发布\n此项目的部分故事和文案使用 Creative Commons Attribution Share Alike 4.0 International 协议授权\n更多信息请查看项目存储库	game/credits.rpy	162
		特别感谢\nPrincess Celestia\nMonika\n[player]	game/credits.rpy	167
		os.remove("game/screens.rpy")	game/credits.rpy	171
		Permission Denied.	game/credits.rpy	171
		os.remove("game/gui.rpy")	game/credits.rpy	172
		os.remove("game/menu.rpy")	game/credits.rpy	173
		os.remove("game/script.rpy")	game/credits.rpy	174
		带着爱创作	game/credits.rpy	180
		游戏结束...？\n「在夜空里所有星星熄灭的时候，所有溪流、所有的梦想，都能汇入同一片大海之中。那时我们终会再见的。」	game/credits.rpy	204
		游戏结束，请重启游戏并删除存档，否则可能发生意料之外的错误。	game/credits.rpy	211
